(3,20,1), (3,31,1)	14
(1,116,1), (1,21,1)	3
(13,63,13)	3
(1,2,1), (1,17,3)	6
(3,1,1), (3,36,1)	8
(1,35,1), (1,37,1)	3
(43,67,1)	10
(3,73,3), (3,15,3)	9
(1,76,1), (1,67,1)	3
(1,112,3), (1,112,3)	8
(1,20,1), (1,1,1)	106
(3,88,3), (3,1,1)	6
(1,7,1), (1,26,1)	9
(1,144,1), (1,1,1)	17
(1,50,1), (1,11,1)	3
(3,112,3), (3,105,3)	9
(3,24,3), (3,37,3)	9
(3,59,1)	24
(1,17,3), (1,28,1)	7
(1,21,1), (1,8,1)	6
(43,22,43)	28
(43,158,3)	6
(1,23,1), (1,85,1)	6
(1,10,1), (1,40,1)	4
(1,32,1), (1,143,1)	12
(1,27,3)	167
(1,11,1)	637
(3,92,3), (3,123,3)	9
(3,91,3), (3,1,3)	6
(1,28,1), (1,33,1)	3
(3,27,3), (3,17,3)	9
(1,16,1), (1,30,1)	24
(43,47,1)	15
(1,17,1), (1,29,1)	18
(1,26,1), (1,11,1)	6
(3,20,1), (1,6,1)	8
(1,15,1), (1,9,1)	6
(3,11,3), (3,31,3)	34
(43,30,1)	37
(3,98,3), (3,98,3)	118
(1,107,1), (1,17,1)	6
(1,51,1), (1,49,1)	6
(1,11,1), (1,21,1)	6
(3,29,3), (3,29,3)	152
(1,112,1), (1,52,1)	15
(1,15,1), (1,15,1)	165
(1,59,1), (1,5,1)	9
(43,10,3), (43,10,3)	24
(1,1,3), (1,17,1)	6
(3,31,1), (3,31,1)	41
(3,26,3), (3,26,3)	54
(1,11,1), (1,4,1)	15
(1,17,3)	127
(1,18,1), (1,11,1)	6
(43,16,3), (3,1,3)	8
(1,37,1), (1,15,1)	15
(3,85,3), (3,57,3)	6
(3,84,1), (3,22,1)	9
(1,23,1), (1,7,1)	6
(1,52,1), (1,22,1)	6
(1,37,1), (1,8,1)	9
(43,7,43), (43,7,43)	30
(3,92,3), (3,46,3)	9
(1,153,1), (1,56,1)	9
(3,24,3), (3,20,3)	6
(43,13,1), (43,85,43)	2
(3,144,3), (3,34,3)	6
(1,98,3), (1,17,1)	6
(3,16,1)	226
