42	(1,15,1)	92
42	(3,17,3)	66
42	(1,20,1), (1,20,1)	58
42	(3,20,1)	137
42	(1,13,1)	150
42	(3,13,1)	75
42	(1,31,1)	64
42	(3,20,3)	273
42	(3,28,3)	96
42	(1,16,1)	84
42	(1,17,1)	88
42	(43,16,1)	75
42	(3,16,3)	71
42	(3,5,3)	75
42	(3,8,3)	135
42	(3,20,3), (3,20,3)	116
42	(3,1,3)	232
42	(1,7,1)	65
42	(3,20,1), (3,20,3)	74
42	(1,10,1)	92
42	(1,23,1)	81
42	(3,31,3)	75
42	(1,8,1)	97
42	(3,8,1)	79
42	(1,20,1)	152
42	(1,1,3)	101
42	(1,22,1)	84
42	(1,5,1)	142
43	(3,28,3)	105
43	(3,11,3)	87
43	(3,20,3), (3,20,1)	44
43	(1,22,1)	85
43	(1,1,1)	268
43	(1,13,1)	127
43	(3,85,3)	70
43	(3,13,1)	78
43	(3,20,3)	261
43	(1,16,1)	78
43	(1,1,1), (1,1,1)	80
43	(3,20,3), (3,20,3)	107
43	(1,31,1)	67
43	(3,17,3)	66
43	(3,13,3)	68
43	(1,1,3)	92
43	(1,15,1)	95
43	(1,28,1)	120
43	(3,8,3)	124
43	(3,20,1)	127
43	(1,20,1), (1,20,1)	47
43	(3,20,1), (3,20,3)	67
43	(3,1,3)	229
43	(1,17,1)	80
43	(1,5,1)	147
43	(1,11,1)	125
43	(3,16,3)	66
43	(3,5,3)	73
43	(1,27,1)	86
43	(3,15,3)	66
43	(3,31,3)	74
43	(3,1,3), (3,1,3)	55
43	(1,7,1)	62
43	(43,16,1)	80
43	(1,10,1)	106
43	(1,20,1)	159
43	(3,8,1)	68
43	(3,1,1)	145
43	(1,23,1)	83
43	(1,8,1)	87
44	(3,13,1)	78
44	(3,8,1)	65
44	(1,15,1)	88
44	(3,17,3)	67
44	(1,1,3)	91
44	(3,8,3)	115
44	(1,7,1)	65
44	(3,1,1)	143
44	(1,5,1)	124
44	(1,11,1)	113
44	(3,28,3)	102
44	(1,17,1)	88
44	(1,31,1)	69
44	(3,11,3)	97
44	(1,28,1)	111
44	(3,31,3)	64
44	(1,20,1), (1,20,1)	58
44	(3,1,3)	238
44	(1,10,1)	107
44	(1,22,1)	67
44	(3,16,3)	64
44	(43,16,1)	78
44	(3,20,1)	126
44	(3,20,3)	257
44	(1,1,1), (1,1,1)	110
44	(3,5,3)	78
44	(1,16,1)	104
44	(1,1,1)	281
44	(1,27,1)	88
44	(3,1,3), (3,1,3)	57
44	(1,13,1)	106
44	(1,20,1)	183
44	(3,85,3)	72
44	(3,20,3), (3,20,3)	102
44	(3,15,3)	72
