2012,"""Characterization of Vertical Velocity and Drop Size Distribution Parameters in Widespread Precipitation at ARM Facilities."" Journal of Applied Meteorology and Climatology 51(2):380-91 DOI: 10.1175/jamc-d-10-0500o.1",hydrometeor size distribution;fkb;arm; sgp,http://dx.doi.org/10.1175/JAMC-D-10-0500O.1,"Giangrande, S. E., E. P. Luke and P. Kollias."
2012,"""Ozone Dynamics and Snow-Atmosphere Exchanges During Ozone Depletion Events at Barrow, Alaska."" Journal of Geophysical Research-Atmospheres 117:15 DOI: 10.1029/2012jd017531", planetary boundary layer height,<Go to ISI>://WOS:000310342500002,"Helmig, D., P. Boylan, B. Johnson, S. Oltmans, C. Fairall, R. Staebler, A. Weinheimer, J. Orlando, D. J. Knapp, D. D. Montzka, F. Flocke, U. Friess, H. Sihler and P. B. Shepson."
2012,"""Comparison of Cloud Cover from All-Sky Imager and Meteorological Observer."" Journal of Atmospheric and Oceanic Technology 29(8):1093-1101 DOI: 10.1175/jtech-d-11-00006.1", cloud fraction;asi,N/A,"Huo, J. and D. R. Lu."
2012,"""Characterization of Arctic Ice Cloud Properties Observed During Isdac."" Journal of Geophysical Research-Atmospheres 117 DOI: 10.1029/2012jd017889",inorganic chemical composition;particle number concentration;cloud; precipitation,http://onlinelibrary.wiley.com/store/10.1029/2012JD017889/asset/jgrd18247.pdf?v=1&t=iqnysh5g&s=68257432a0afa8da741a2978c14d914d4397f26e,"Jouan, C., E. Girard, J. Pelon, I. Gultepe, J. Delanoe and J. P. Blanchet."
2012,"Multi-Year Satellite and Surface Observations of Aod in Support of Two-Column Aerosol Project (Tcap) Field Campaign. Remote Sensing of Clouds and the Atmosphere XVII; and Lidar Technologies, Techniques, and Measurements for Atmospheric Remote Sensing VIII, 24-27 Sept. 2012, USA, SPIE - The International Society for Optical Engineering.", aeros;cape cod ma;aeros;arm,DOI: 10.1117/12.977862,"Kassianov, E., D. Chand, L. Berg, J. Fast, J. Tomlinson, R. Ferrare, C. Hostetler and J. Hair"
2012,"""Aerosols in Central California: Unexpectedly Large Contribution of Coarse Mode to Aerosol Radiative Forcing."" Geophysical Research Letters 39:6 DOI: 10.1029/2012gl053469", aerosols,<Go to ISI>://WOS:000310079700004,"Kassianov, E., M. Pekour and J. Barnard."
2012,"""Cloud Radar Doppler Spectra in Drizzling Stratiform Clouds: 1. Forward Modeling and Remote Sensing Applications."" Journal of Geophysical Research: Atmospheres 116(D13):D13201 (14 pp.) DOI: 10.1029/2010jd015237", radar reflectivity,http://dx.doi.org/10.1029/2010JD015237,"Kollias, P., J. Remillard, E. Luke and W. Szyrmer."
2012,"""Cloud Radar Doppler Spectra in Drizzling Stratiform Clouds: 2. Observations and Microphysical Modeling of Drizzle Evolution."" Journal of Geophysical Research: Atmospheres 116(D13):D13203 (14 pp.) DOI: 10.1029/2010jd015238",cloud particle size distribution;cloud; radar doppler;radar doppler,http://dx.doi.org/10.1029/2010JD015238,"Kollias, P., W. Szyrmer, J. Remillard and E. Luke."
2012,"""On the Importance of Vaisala Rs92 Radiosonde Humidity Corrections for a Better Agreement between Measured and Modeled Satellite Radiances."" Journal of Atmospheric and Oceanic Technology 29(2):248-59 DOI: 10.1175/jtech-d-11-00080.1", arm,http://dx.doi.org/10.1175/JTECH-D-11-00080.1,"Kottayil, A., S. A. Buehler, V. O. John, L. M. Miloshevich, M. Milz and G. Holl."
2012,"""Comparison of Precipitation Observations from a Prototype Space-Based Cloud Radar and Ground-Based Radars."" Advances in Atmospheric Sciences 29(6):1318-1329 DOI: 10.1007/s00376-012-1233-6",precipitation; radar doppler,<Go to ISI>://WOS:000310074000015,"Liu, L. P., Z. Q. Zhang, D. R. Yu, H. Yang, C. H. Zhao and L. Z. Zhong."
2012,"""Quantification of the Impact of Nauru Island on ARM Measurements."" Journal of Applied Meteorology and Climatology 51(3):628-36 DOI: 10.1175/jamc-d-11-0174.1",arm;nauru island; nauru island,http://dx.doi.org/10.1175/JAMC-D-11-0174.1,"Long, C. N. and S. A. McFarlane."
